City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Bredasdorp,ZA,51.87,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
12,Thompson,CA,53.76,overcast clouds,55.7435,-97.8558,Burntwood Hotel
14,Punta Arenas,CL,39.31,few clouds,-53.15,-70.9167,Hotel Hain
23,Pangnirtung,CA,39.2,broken clouds,66.1451,-65.7125,Kilabuk Lodge
28,Husavik,IS,56.77,broken clouds,66.0449,-17.3389,Bjarnabúð
40,Luena,AO,58.96,clear sky,-11.7833,19.9167,Hotel Kandamba
42,Hobart,AU,43.27,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
45,Cherskiy,RU,48.09,scattered clouds,68.75,161.3,Gostinitsa
47,Safranbolu,TR,59.25,scattered clouds,41.2508,32.6942,GuleviSafranbolu Hotel
48,New Norfolk,AU,42.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
55,Nanortalik,GL,40.1,few clouds,60.1432,-45.2371,Hotel Kap Farvel
58,Barrow,US,42.82,clear sky,71.2906,-156.7887,King Eider Inn
61,Ushuaia,AR,33.46,scattered clouds,-54.8,-68.3,Albatross Hotel
67,Upernavik,GL,35.51,clear sky,72.7868,-56.1549,Café de Upernavik
70,Kodiak,US,53.11,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
76,Hermanus,ZA,49.8,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
79,Bluff,NZ,35.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
81,Mataura,NZ,35.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
90,Saldanha,ZA,58.01,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
92,Tuktoyaktuk,CA,51.8,broken clouds,69.4541,-133.0374,End of The Road Ltd.
94,Kaeo,NZ,49.32,overcast clouds,-35.1,173.7833,Bushido Lodge
95,Port Hardy,CA,51.98,light rain,50.6996,-127.4199,Airport Inn-Port Hardy
100,Coquimbo,CL,58.73,scattered clouds,-29.9533,-71.3436,Hotel San Juan
101,Leningradskiy,RU,34.02,light snow,69.3833,178.4167,Gostinitsa
103,Tasiilaq,GL,41.16,light rain,65.6145,-37.6368,The Red House
105,Klaksvik,FO,52.72,overcast clouds,62.2266,-6.589,Airbnb rooms
109,Waipawa,NZ,49.32,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
110,Trelew,AR,53.96,overcast clouds,-43.249,-65.3051,Hotel Touring Club
112,Comodoro Rivadavia,AR,51.66,clear sky,-45.8667,-67.5,Austral Hotel
113,Rawson,AR,53.71,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
114,Tiksi,RU,32.5,overcast clouds,71.6872,128.8694,Arktika
115,Hofn,IS,51.35,overcast clouds,64.2539,-15.2082,Hótel Höfn
116,Yellowknife,CA,54.12,light intensity shower rain,62.456,-114.3525,The Explorer Hotel
118,Yulara,AU,57.76,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
125,Talnakh,RU,58.21,overcast clouds,69.4865,88.3972,Talnakh Hotel
126,Vestmannaeyjar,IS,50.99,broken clouds,63.4427,-20.2734,Glamping & Camping
132,Mehamn,NO,40.95,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
133,Port Elizabeth,ZA,58.1,clear sky,-33.918,25.5701,39 On Nile Guest House
136,Qaanaaq,GL,36.27,few clouds,77.484,-69.3632,Qaanaaq Hotel
138,Bonavista,CA,54.79,clear sky,48.6499,-53.1147,Sweet Sharons bnb
140,Lakhdenpokhya,RU,46.47,overcast clouds,61.5198,30.1992,Rauhala Place
141,Mar Del Plata,AR,54.09,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
143,Lapua,FI,55.47,overcast clouds,62.9693,23.0088,Hotelli Lapuahovi Ravintola Baari
145,Port Alfred,ZA,56.95,overcast clouds,-33.5906,26.891,The Halyards Hotel
146,Powell River,CA,57.18,mist,49.8496,-124.5361,Rodmay Hotel
154,Nagorsk,RU,59.86,overcast clouds,59.3172,50.8078,Uyutnyy Dom
160,Port Lincoln,AU,53.71,clear sky,-34.7333,135.8667,Port Lincoln Hotel
163,Longyearbyen,SJ,37.24,light rain,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
165,Atemar,RU,56.05,overcast clouds,54.181,45.4091,Holiday Home on Karnishina
167,Pevek,RU,32.16,scattered clouds,69.7008,170.3133,Severnoye Zoloto
172,Xining,CN,57.81,overcast clouds,36.6167,101.7667,Super Leisure Hotel
173,Chumikan,RU,35.71,overcast clouds,54.7183,135.315,Fortuna
175,Tsabong,BW,52.97,clear sky,-26.0217,22.401,Springbok Motel
176,Vardo,NO,40.98,broken clouds,70.3705,31.1107,Vardø Hotel AS
178,Muromtsevo,RU,57.31,overcast clouds,56.3724,75.2418,Plyazh U Reki Tara
184,Alihe,CN,52.92,overcast clouds,50.5667,123.7167,Alihe Forestry Hotel
187,Novyy Urengoy,RU,58.42,overcast clouds,66.0833,76.6333,Apartments Moy Dom na Gubkina
189,Turukhansk,RU,58.95,few clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
191,Fort Nelson,CA,56.79,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
194,Terrace Bay,CA,49.6,broken clouds,48.7834,-87.1,Drifters Motel & Restaurant
195,East London,ZA,58.5,overcast clouds,-33.0153,27.9116,Tu Casa
196,Nuuk,GL,38.88,overcast clouds,64.1835,-51.7216,Vandrehuset
197,Dunedin,NZ,39.79,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
208,Nikolskoye,RU,56.88,overcast clouds,59.7035,30.7861,Tourist House - Sablino
209,Lebu,CL,51.31,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
211,Berlevag,NO,41.0,broken clouds,70.8578,29.0864,Kvitbrakka
214,Verkhnevilyuysk,RU,46.96,clear sky,63.4453,120.3167,Gostinitsa Mila
217,Kaitangata,NZ,37.4,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
219,General Roca,AR,59.63,clear sky,-39.0333,-67.5833,Hotel El Recreo
220,Qaqortoq,GL,41.83,few clouds,60.7167,-46.0333,Siniffik Inn
222,Severo-Kurilsk,RU,47.03,overcast clouds,50.6789,156.125,Kak Doma
224,Quime,BO,59.23,clear sky,-16.9833,-67.2167,Hostal Colibri
227,Flinders,AU,53.26,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
231,Igarka,RU,58.53,broken clouds,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
233,Tawang,IN,54.09,overcast clouds,27.5833,91.8667,Hotel Mount View
234,Esperance,AU,59.2,clear sky,-33.8667,121.9,Hospitality Esperance
240,Pelym,RU,59.77,broken clouds,61.0108,61.9978,Obshchezhitiye Pelymskogo Lpumg
246,Clyde River,CA,30.43,light snow,70.4692,-68.5914,Qamaq Hotel
247,Port Macquarie,AU,43.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
249,Ust-Ilimsk,RU,58.1,clear sky,58.0006,102.6619,AleNat Center
250,Smirnykh,RU,48.16,clear sky,49.75,142.8333,Tsentral'naya
254,Codrington,AU,48.6,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
256,Christchurch,NZ,44.91,overcast clouds,-43.5333,172.6333,The George
261,Mount Isa,AU,55.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
267,Peleduy,RU,54.73,clear sky,59.6289,112.7406,Гостиница «Уют»
268,Bilibino,RU,47.88,few clouds,68.0546,166.4372,Gostinitsa Severyanka
276,Nowa Ruda,PL,59.85,few clouds,50.5801,16.5016,Hotelik Dwór Górny
283,Mezen,RU,58.03,broken clouds,65.8522,44.24,Gostevoy Dom Everest
292,Mackay,AU,55.69,clear sky,-21.15,149.2,International Lodge Motel
296,Ust-Tsilma,RU,59.54,overcast clouds,65.441,52.1498,U Praskov'i
299,Coihaique,CL,41.61,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
301,Tono,JP,57.49,scattered clouds,39.3167,141.5333,Aeria Tono
302,Ahipara,NZ,54.52,light rain,-35.1667,173.1667,Ahipara Holiday Park
303,Sidney,AU,55.71,clear sky,-33.8679,151.2073,The Grace Sydney
305,Kruisfontein,ZA,55.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
308,Ancud,CL,45.23,moderate rain,-41.8697,-73.8203,Hotel Arena Gruesa
317,Kemijarvi,FI,43.34,overcast clouds,66.7131,27.4306,Hotelli Kemijärvi
320,Okha,RU,42.96,light rain,53.5739,142.9478,Sakhalin-Sfera
326,Honningsvag,NO,40.75,light intensity drizzle,70.9821,25.9704,Nordkapp Vandrerhjem
328,Sistranda,NO,51.76,overcast clouds,63.7256,8.834,Hotell Frøya
331,Grindavik,IS,51.75,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
336,Okato,NZ,55.18,overcast clouds,-39.2,173.8833,Stony River House
340,Salym,RU,54.77,overcast clouds,60.0625,71.4789,Gostinitsa Salym
342,Port Shepstone,ZA,57.83,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
345,Mombetsu,JP,51.8,overcast clouds,44.3525,143.3525,Okhotsk Palace Hotel
347,Paamiut,GL,38.66,overcast clouds,61.994,-49.6678,Pistut
348,Havoysund,NO,41.23,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
350,Tuatapere,NZ,40.44,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
354,Pustoshka,RU,53.55,overcast clouds,56.3355,29.369,Yubileinaya Hotel
359,Ilulissat,GL,55.42,broken clouds,69.2167,-51.1,Hotel Arctic
363,Belyy Yar,RU,57.09,clear sky,53.6039,91.3903,Pasportnyy Stol
366,Stawell,AU,49.32,overcast clouds,-37.05,142.7667,Motel Stawell
369,Astana,KZ,58.95,clear sky,51.1801,71.446,King Hotel Astana
370,Hay River,CA,55.38,broken clouds,60.8156,-115.7999,Ptarmigan Inn
373,Nemuro,JP,52.92,scattered clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
375,Lulea,SE,55.47,clear sky,65.5842,22.1547,Comfort Hotel Arctic
382,Chernyshevskiy,RU,50.07,clear sky,63.0128,112.4714,Chernyseyskiy
383,Cabildo,AR,57.49,clear sky,-38.4842,-61.8954,Amanecer
384,San Juan,AR,57.92,clear sky,-31.5375,-68.5364,Hotel Provincial
398,Nizhniy Ingash,RU,59.58,overcast clouds,56.2,96.53,Gostinitsa Bayazet
402,Byron Bay,AU,48.7,clear sky,-28.65,153.6167,Backpackers Inn
405,Oppdal,NO,50.56,overcast clouds,62.5943,9.6912,Quality Hotel Skifer
406,Zhigansk,RU,46.24,clear sky,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
413,Andenes,NO,46.38,broken clouds,69.3143,16.1194,Hotell Marena
415,Kosh-Agach,RU,48.58,clear sky,50.0,88.6667,Fermerskiy Dom v Kosh-Agache
417,Pangody,RU,51.82,clear sky,65.85,74.4859,Elizaveta Shevchuk's House
423,Batemans Bay,AU,54.1,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
427,Lyaskelya,RU,46.24,overcast clouds,61.7667,31.0167,Manor Cafe
434,Chiredzi,ZW,58.05,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
438,Panguipulli,CL,46.53,overcast clouds,-39.6333,-72.3333,Cabañas Mis Viejos
446,Markova,UA,57.34,few clouds,48.6758,24.4138,Vas.VOM
447,Brae,GB,55.22,overcast clouds,60.3964,-1.353,Busta House Hotel
451,Kachug,RU,57.13,few clouds,53.9606,105.8817,"The hotel ""Empire"""
459,Coolum Beach,AU,54.07,broken clouds,-26.5333,153.1,Coolum Beach Resort
460,Narsaq,GL,57.42,scattered clouds,60.9167,-46.05,Sleep In Narsaq
461,Kargasok,RU,54.41,overcast clouds,59.0556,80.8572,Hotel Kargasok
463,Slyudyanka,RU,57.94,scattered clouds,51.6594,103.7061,Delight
464,Te Anau,NZ,41.04,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
470,Darovskoy,RU,55.94,overcast clouds,58.77,47.9564,"Hotel ""Central"""
475,Sorland,NO,48.06,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
487,Novki,RU,55.85,scattered clouds,56.3608,41.0775,Ooo Uyutnyy Dom
494,Gawler,AU,55.22,broken clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
495,Pandamatenga,BW,59.34,clear sky,-18.5278,25.627,Wildtrack Safaris Eco Lodge
496,Taltal,CL,58.46,clear sky,-25.4,-70.4833,Residencial Karime
498,Villazon,BO,57.85,broken clouds,-22.0866,-65.5942,La Candelaria
504,Ust-Nera,RU,53.31,broken clouds,64.5667,143.2,Hotel Ust-Nera
513,Sicuani,PE,57.96,clear sky,-14.2694,-71.2261,Wilkamayu Hotel
514,Whangarei,NZ,49.14,overcast clouds,-35.7317,174.3239,Bella Vista Motel Whangarei
517,Shambu,ET,53.89,light rain,9.5667,37.1,Wabe Hotel
524,Bodo,NO,52.65,few clouds,67.28,14.405,Clarion Collection Hotel Grand Bodø
527,Olafsvik,IS,49.71,scattered clouds,64.8945,-23.7142,Hotel Olafsvik
530,Raduzhnyy,RU,56.44,light rain,62.0961,77.475,Gostiny Dvor Evgeniya
536,Genhe,CN,49.41,few clouds,50.7833,121.5167,Companionship Hotel
562,Mount Gambier,AU,46.15,overcast clouds,-37.8333,140.7667,The Commodore
564,Slavsk,RU,54.61,overcast clouds,55.0425,21.677,"Feniks, Gostinitsa"
565,Constitucion,CL,55.72,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
569,Dunhua,CN,56.93,overcast clouds,43.3725,128.2425,Jinhao International Business Hotel
571,Hamina,FI,56.48,overcast clouds,60.5697,27.1979,SpaHotel Hamina
575,Abalak,RU,55.4,few clouds,58.1286,68.5944,Туристический комплекс Абалак
586,Bulgan,MN,57.92,broken clouds,48.8125,103.5347,Unitel Булган салбар
589,Iqaluit,CA,42.53,scattered clouds,63.7506,-68.5145,Frobisher Inn
594,Sawtell,AU,44.62,mist,-30.3833,153.1,The Bungalow Sawtell
596,Broken Hill,AU,55.04,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
609,Khandyga,RU,51.31,clear sky,62.6667,135.6,Apel'sin
612,Vytegra,RU,52.61,clear sky,61.0064,36.4481,Wardenclyffe Volgo&Balt
618,Revda,RU,57.15,few clouds,56.801,59.9303,Gostinitsa Metallurg
619,Hailar,CN,56.71,clear sky,49.2,119.7,Holiday Inn & Suites Hulunbuir
626,Raudeberg,NO,53.87,overcast clouds,61.9875,5.1352,Nordre Silda.
631,Sosva,RU,59.22,broken clouds,59.1766,61.8558,Gostinitsa
635,Timaru,NZ,45.07,overcast clouds,-44.4,171.25,The Grosvenor
640,Khor,RU,56.32,few clouds,47.8861,134.9464,Gostinitsa Deksi
641,Mari-Turek,RU,56.64,overcast clouds,56.7895,49.6235,Berloga Khismata
644,Necochea,AR,54.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
648,Palana,RU,45.91,light rain,59.1167,159.9667,Chikago
660,Kingaroy,AU,46.2,overcast clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
661,Cap-Aux-Meules,CA,55.87,overcast clouds,47.3821,-61.8597,Auberge Madeli
664,Joensuu,FI,48.69,overcast clouds,62.6012,29.7632,Original Sokos Hotel Kimmel
